year,rcp,had,had_025,had_975,cw,cw_1sigma,giss,trf,volc,solar,anthro,ghg,co2ch4n2o,fgassum,mhalosum,aerosols,other,soi,amo,had_full,cw_full,giss_full,volc_mean,soi_mean,amo_mean
1866,rcp26,0.0582666666666667,-0.161733333333333,0.265266666666667,-0.00673333333333331,0.066,NA,0.15596621,0.21907859,-0.0242375,0.18020371,0.264828,0.26472348,0,0.00010452,-0.049152494,-0.035471797,-0.25,0.205083333333333,0.0582666666666667,-0.00673333333333331,NA,0.21907859,-0.25,0.205083333333333
1867,rcp26,-0.0107333333333333,-0.224733333333333,0.199266666666667,-0.0577333333333333,0.066,NA,0.1505226,0.22901714,-0.024600625,0.17512323,0.26787348,0.26776222,0,0.0001112605,-0.050998163,-0.041752084,-0.0833333333333333,0.143583333333333,-0.0107333333333333,-0.0577333333333333,NA,0.22901714,-0.0833333333333333,0.143583333333333
1868,rcp26,0.0722666666666667,-0.137733333333333,0.272266666666667,0.0282666666666667,0.066,NA,0.17369163,0.23107339,-0.0025725,0.17626413,0.27138324,0.27126523,0,0.0001180075,-0.052157318,-0.042961786,-1.38333333333333,0.155916666666667,0.0722666666666667,0.0282666666666667,NA,0.23107339,-1.38333333333333,0.155916666666667
1869,rcp26,0.0412666666666667,-0.147733333333333,0.227266666666667,-0.00273333333333331,0.065,NA,0.21785672,0.22284839,0.03553375,0.18232298,0.27535688,0.27523214,0,0.000124748,-0.052479537,-0.040554374,0.625,0.0970833333333333,0.0412666666666667,-0.00273333333333331,NA,0.22284839,0.625,0.0970833333333333
1870,rcp26,0.0282666666666667,-0.144733333333333,0.196266666666667,-0.0467333333333333,0.06,NA,0.25113271,0.21873589,0.06412875,0.18700396,0.27938161,0.27925015,0,0.0001314625,-0.05286365,-0.039513993,-0.266666666666667,0.02,0.0282666666666667,-0.0467333333333333,NA,0.21873589,-0.266666666666667,0.02
1871,rcp26,-0.0297333333333333,-0.211733333333333,0.147266666666667,-0.0617333333333333,0.058,NA,0.24939782,0.2194213,0.06727,0.18212782,0.2837839,0.28364571,0,0.00013819,-0.056344098,-0.045311981,-0.283333333333333,0.0331666666666667,-0.0297333333333333,-0.0617333333333333,NA,0.2194213,-0.283333333333333,0.0331666666666667
1872,rcp26,0.0762666666666667,-0.0947333333333333,0.241266666666667,-0.0157333333333333,0.059,NA,0.21568884,0.2070838,0.051760625,0.16392822,0.28859483,0.28844988,0,0.00014495,-0.062365425,-0.062301188,3.11666666666667,0.0954166666666667,0.0762666666666667,-0.0157333333333333,NA,0.2070838,3.11666666666667,0.0954166666666667
1873,rcp26,0.000266666666666693,-0.164733333333333,0.161266666666667,0.0152666666666667,0.059,NA,0.17641352,0.19337547,0.0265125,0.14990102,0.2939516,0.29379989,0,0.00015171,-0.066540858,-0.077509722,0.216666666666667,0.05,0.000266666666666693,0.0152666666666667,NA,0.19337547,0.216666666666667,0.05
1874,rcp26,-0.0707333333333333,-0.232733333333333,0.0892666666666667,-0.102733333333333,0.059,NA,0.15247698,0.20125776,-2.1874985e-05,0.15249886,0.30023225,0.30007378,0,0.00015847,-0.06634168,-0.081391713,1.01666666666667,-0.019,-0.0707333333333333,-0.102733333333333,NA,0.20125776,1.01666666666667,-0.019
1875,rcp26,-0.0937333333333333,-0.258733333333333,0.0642666666666667,-0.0837333333333333,0.059,NA,0.13840011,0.19406089,-0.020846875,0.15924699,0.30702371,0.30685848,0,0.00016523,-0.065586964,-0.082189756,0.258333333333333,0.0369166666666667,-0.0937333333333333,-0.0837333333333333,NA,0.19406089,0.258333333333333,0.0369166666666667
