mu,sigma,tcr_mean,yrs,thresh
1,0.25,1.25302411751818,69,1.3
1,0.2315,1.25937153058884,70,1.3
1,0.213,1.2540932414091,72,1.3
1,0.1945,1.25684787164205,73,1.3
1,0.176,1.25099764844924,74,1.3
1,0.1575,1.25081980260092,77,1.3
1,0.139,1.25033424720044,90,1.3
1,0.1205,1.25006037545729,103,1.3
1,0.102,1.25209662233885,106,1.3
1,0.0835,1.25674941305348,113,1.3
1,0.065,1.25391928658285,123,1.3
0.9,0.25,1.28082289817515,73,1.3
0.9,0.2315,1.25306335278104,73,1.3
0.9,0.213,1.25936650613451,74,1.3
0.9,0.1945,1.26130808990655,77,1.3
0.9,0.176,1.25123073424157,86,1.3
0.9,0.1575,1.25896523050415,101,1.3
0.9,0.139,1.27790629463626,104,1.3
0.9,0.1205,1.26725249521923,107,1.3
0.9,0.102,1.25168449177189,111,1.3
0.9,0.0835,1.27259043276971,122,1.3
0.9,0.065,1.25730644376147,134,1.3
0.8,0.25,1.26902357910137,74,1.3
0.8,0.2315,1.26985686217292,76,1.3
0.8,0.213,1.25297378008896,78,1.3
0.8,0.1945,1.26715964828466,90,1.3
0.8,0.176,1.25803750959345,101,1.3
0.8,0.1575,1.28003371021086,104,1.3
0.8,0.139,1.25270274059199,106,1.3
0.8,0.1205,1.27000137183932,111,1.3
0.8,0.102,1.25252352660431,115,1.3
0.8,0.0835,1.25305462795011,124,1.3
0.8,0.065,1.25585254516353,138,1.3
0.7,0.25,1.27184633662045,77,1.3
0.7,0.2315,1.27675632044028,83,1.3
0.7,0.213,1.25630925030094,90,1.3
0.7,0.1945,1.25332924921879,101,1.3
0.7,0.176,1.29220846650291,104,1.3
0.7,0.1575,1.25836324633062,105,1.3
0.7,0.139,1.25487193955129,110,1.3
0.7,0.1205,1.26070512112188,114,1.3
0.7,0.102,1.2695258550646,122,1.3
0.7,0.0835,1.25781881859527,133,1.3
0.7,0.065,1.25383747279787,143,1.3
0.6,0.25,1.26306406631801,83,1.3
0.6,0.2315,1.26033377420587,90,1.3
0.6,0.213,1.25526479476461,101,1.3
0.6,0.1945,1.29877792491669,104,1.3
0.6,0.176,1.26033031945698,104,1.3
0.6,0.1575,1.25107293060261,107,1.3
0.6,0.139,1.25027800309249,111,1.3
0.6,0.1205,1.25662322688489,117,1.3
0.6,0.102,1.26014078506083,124,1.3
0.6,0.0835,1.25699307775152,136,1.3
0.6,0.065,1.25025449281212,147,1.3
0.5,0.25,1.26574095591544,90,1.3
