mu,sigma,tcr_mean,yrs,thresh
0.1,0.10392,1.25612942789553,142,1.3
0,0.10392,1.25268506085914,144,1.3
0.5,0.08566,1.25536544101303,140,1.3
0.4,0.08566,1.25246593493344,144,1.3
0.3,0.08566,1.26321511709552,147,1.3
0.2,0.08566,1.2632677328292,150,1.3
0.1,0.08566,1.25330047988058,153,1.3
0,0.08566,1.26020176687688,157,1.3
0.8,0.0674,1.25008712268159,140,1.3
0.7,0.0674,1.25504033451455,145,1.3
0.6,0.0674,1.26149266092536,150,1.3
0.5,0.0674,1.25946942220989,156,1.3
0.4,0.0674,1.25413179885648,159,1.3
0.3,0.0674,1.25759503075406,163,1.3
0.2,0.0674,1.26145667902498,168,1.3
0.1,0.0674,1.25317949980447,171,1.3
0,0.0674,1.25820732891056,176,1.3
