mu,sigma,tcr_mean,yrs,thresh
1,0.25,1.45253103280363,97,1.5
1,0.23174,1.45660914505075,98,1.5
1,0.21348,1.45071985128109,99,1.5
1,0.19522,1.45287874188237,100,1.5
1,0.17696,1.45297631427951,101,1.5
1,0.1587,1.45274268981129,103,1.5
1,0.14044,1.45635737841988,107,1.5
1,0.12218,1.45312635429323,113,1.5
1,0.10392,1.45569110660326,120,1.5
1,0.08566,1.45227352698813,146,1.5
1,0.0674,1.45119941109185,171,1.5
0.9,0.25,1.45850275254134,98,1.5
0.9,0.23174,1.46217647386799,100,1.5
0.9,0.21348,1.45262791644582,100,1.5
0.9,0.19522,1.46078291017063,102,1.5
0.9,0.17696,1.45010425484653,102,1.5
0.9,0.1587,1.45830898245084,107,1.5
0.9,0.14044,1.45354093245066,112,1.5
0.9,0.12218,1.45070776173879,117,1.5
0.9,0.10392,1.45576022612173,143,1.5
0.9,0.08566,1.45145399169672,160,1.5
0.9,0.0674,1.45252335985668,185,1.5
0.8,0.25,1.46542844042852,100,1.5
0.8,0.23174,1.45385563132251,100,1.5
0.8,0.21348,1.45495548837952,101,1.5
0.8,0.19522,1.45140513022493,102,1.5
0.8,0.17696,1.45993217742169,107,1.5
0.8,0.1587,1.45080125391219,110,1.5
0.8,0.14044,1.45541230849224,115,1.5
0.8,0.12218,1.46246507327679,140,1.5
0.8,0.10392,1.45536259216053,146,1.5
0.8,0.08566,1.45037076727446,163,1.5
0.8,0.0674,1.4523173035883,190,1.5
0.7,0.25,1.4547282142492,100,1.5
0.7,0.23174,1.45508175122461,101,1.5
0.7,0.21348,1.45689939144243,102,1.5
0.7,0.19522,1.45206724229122,105,1.5
0.7,0.17696,1.4509684224682,107,1.5
0.7,0.1587,1.45555872015385,113,1.5
0.7,0.14044,1.45433909091258,118,1.5
0.7,0.12218,1.45750864084867,143,1.5
0.7,0.10392,1.45593143228443,151,1.5
0.7,0.08566,1.45063982097811,172,1.5
0.7,0.0674,1.45004858440691,194,1.5
0.6,0.25,1.4518634048146,101,1.5
0.6,0.23174,1.45622649886016,102,1.5
0.6,0.21348,1.4535832775448,104,1.5
0.6,0.19522,1.45764058051163,107,1.5
0.6,0.17696,1.45261017157254,112,1.5
0.6,0.1587,1.45707173523723,117,1.5
0.6,0.14044,1.45054077264797,121,1.5
0.6,0.12218,1.4520978805906,145,1.5
0.6,0.10392,1.45679128958911,162,1.5
0.6,0.08566,1.45008094774941,184,1.5
0.6,0.0674,1.45015226419924,201,1.5
0.5,0.25,1.45661308709911,102,1.5
0.5,0.23174,1.45258837090352,103,1.5
0.5,0.21348,1.46086874420899,107,1.5
0.5,0.19522,1.45950864807317,110,1.5
0.5,0.17696,1.4537031466113,113,1.5
0.5,0.1587,1.45136634269752,118,1.5
0.5,0.14044,1.4522035365823,140,1.5
0.5,0.12218,1.45300139350787,147,1.5
0.5,0.10392,1.45068334514776,163,1.5
0.5,0.08566,1.45149207005004,186,1.5
0.5,0.0674,1.45046308332317,212,1.5
0.4,0.25,1.45829322438705,103,1.5
0.4,0.23174,1.45082143897795,105,1.5
0.4,0.21348,1.45290599345734,107,1.5
0.4,0.19522,1.45249457822646,112,1.5
0.4,0.17696,1.45120507224464,114,1.5
0.4,0.1587,1.45271120354654,120,1.5
0.4,0.14044,1.45038425187971,143,1.5
0.4,0.12218,1.45555061425753,151,1.5
0.4,0.10392,1.45293283615153,171,1.5
0.4,0.08566,1.45017847584592,189,1.5
0.4,0.0674,1.44027511098413,235,1.5
0.3,0.25,1.4540470584348,104,1.5
0.3,0.23174,1.45960041790766,107,1.5
0.3,0.21348,1.45115282816975,107,1.5
0.3,0.19522,1.45595762391238,113,1.5
0.3,0.17696,1.45740815191917,118,1.5
0.3,0.1587,1.45678364010299,140,1.5
0.3,0.14044,1.45568538090095,146,1.5
0.3,0.12218,1.45802618470485,162,1.5
0.3,0.10392,1.45039723900998,182,1.5
0.3,0.08566,1.45024894643815,191,1.5
0.3,0.0674,1.43132017685703,235,1.5
0.2,0.25,1.45435987399176,106,1.5
0.2,0.23174,1.45415389606372,107,1.5
0.2,0.21348,1.45647458028316,112,1.5
0.2,0.19522,1.45084810198148,114,1.5
0.2,0.17696,1.45426965867987,119,1.5
0.2,0.1587,1.4509244487567,142,1.5
0.2,0.14044,1.45359191961208,147,1.5
0.2,0.12218,1.45212208533179,162,1.5
0.2,0.10392,1.45083816459354,184,1.5
0.2,0.08566,1.45052161881686,198,1.5
0.2,0.0674,1.42378735293243,235,1.5
0.1,0.25,1.45705626529277,107,1.5
0.1,0.23174,1.45570055186755,110,1.5
0.1,0.21348,1.45418095132603,113,1.5
0.1,0.19522,1.45131153005665,117,1.5
0.1,0.17696,1.45379391524279,121,1.5
0.1,0.1587,1.45003537433696,143,1.5
0.1,0.14044,1.45232594785829,150,1.5
0.1,0.12218,1.45098660484704,169,1.5
0.1,0.10392,1.45122858002051,185,1.5
0.1,0.08566,1.45114256190886,201,1.5
0.1,0.0674,1.41384467030081,235,1.5
0,0.25,1.45510604368801,107,1.5
0,0.23174,1.45146856270557,110,1.5
0,0.21348,1.45615378789746,114,1.5
0,0.19522,1.45538664387243,118,1.5
0,0.17696,1.4594355733228,142,1.5
0,0.1587,1.45196724112214,145,1.5
0,0.14044,1.45001990527695,151,1.5
0,0.12218,1.45249761128388,171,1.5
0,0.10392,1.45128988320763,188,1.5
0,0.08566,1.45000664832611,209,1.5
0,0.0674,1.40436736751629,235,1.5
