mu,sigma,tcr_mean,yrs,thresh
1,0.25,1.45253103280363,97,1.5
0.9,0.25,1.45850275254134,98,1.5
0.8,0.25,1.46542844042852,100,1.5
0.7,0.25,1.4547282142492,100,1.5
0.6,0.25,1.4518634048146,101,1.5
0.5,0.25,1.45661308709911,102,1.5
0.4,0.25,1.45829322438705,103,1.5
0.3,0.25,1.4540470584348,104,1.5
0.2,0.25,1.45435987399176,106,1.5
0.1,0.25,1.45705626529277,107,1.5
0,0.25,1.45510604368801,107,1.5
1,0.23174,1.45660914505075,98,1.5
0.9,0.23174,1.46217647386799,100,1.5
0.8,0.23174,1.45385563132251,100,1.5
0.7,0.23174,1.45508175122461,101,1.5
0.6,0.23174,1.45622649886016,102,1.5
0.5,0.23174,1.45258837090352,103,1.5
0.4,0.23174,1.45082143897795,105,1.5
0.3,0.23174,1.45960041790766,107,1.5
0.2,0.23174,1.45415389606372,107,1.5
0.1,0.23174,1.45570055186755,110,1.5
0,0.23174,1.45146856270557,110,1.5
1,0.21348,1.45071985128109,99,1.5
0.9,0.21348,1.45262791644582,100,1.5
0.8,0.21348,1.45495548837952,101,1.5
0.7,0.21348,1.45689939144243,102,1.5
0.6,0.21348,1.4535832775448,104,1.5
0.5,0.21348,1.46086874420899,107,1.5
0.4,0.21348,1.45290599345734,107,1.5
0.3,0.21348,1.45115282816975,107,1.5
0.2,0.21348,1.45647458028316,112,1.5
0.1,0.21348,1.45418095132603,113,1.5
0,0.21348,1.45615378789746,114,1.5
1,0.19522,1.45287874188237,100,1.5
0.9,0.19522,1.46078291017063,102,1.5
0.8,0.19522,1.45140513022493,102,1.5
0.7,0.19522,1.45206724229122,105,1.5
0.6,0.19522,1.45764058051163,107,1.5
0.5,0.19522,1.45950864807317,110,1.5
0.4,0.19522,1.45249457822646,112,1.5
0.3,0.19522,1.45595762391238,113,1.5
0.2,0.19522,1.45084810198148,114,1.5
0.1,0.19522,1.45131153005665,117,1.5
0,0.19522,1.45538664387243,118,1.5
1,0.17696,1.45297631427951,101,1.5
0.9,0.17696,1.45010425484653,102,1.5
0.8,0.17696,1.45993217742169,107,1.5
0.7,0.17696,1.4509684224682,107,1.5
0.6,0.17696,1.45261017157254,112,1.5
0.5,0.17696,1.4537031466113,113,1.5
0.4,0.17696,1.45120507224464,114,1.5
0.3,0.17696,1.45740815191917,118,1.5
0.2,0.17696,1.45426965867987,119,1.5
0.1,0.17696,1.45379391524279,121,1.5
0,0.17696,1.43619927415771,140,1.5
1,0.1587,1.45274268981129,103,1.5
0.9,0.1587,1.45830898245084,107,1.5
0.8,0.1587,1.45080125391219,110,1.5
0.7,0.1587,1.45555872015385,113,1.5
0.6,0.1587,1.45707173523723,117,1.5
0.5,0.1587,1.45136634269752,118,1.5
0.4,0.1587,1.45271120354654,120,1.5
0.3,0.1587,1.43580306847269,140,1.5
0.2,0.1587,1.4290907785342,140,1.5
0.1,0.1587,1.41679262274495,140,1.5
0,0.1587,1.40749543451082,140,1.5
1,0.14044,1.45635737841988,107,1.5
0.9,0.14044,1.45354093245066,112,1.5
0.8,0.14044,1.45541230849224,115,1.5
0.7,0.14044,1.45433909091258,118,1.5
0.6,0.14044,1.45054077264797,121,1.5
0.5,0.14044,1.43047630295176,140,1.5
0.4,0.14044,1.4209342104607,140,1.5
0.3,0.14044,1.40715997108526,140,1.5
0.2,0.14044,1.39110363399297,140,1.5
0.1,0.14044,1.37758256480782,140,1.5
0,0.14044,1.36564178171659,140,1.5
1,0.12218,1.45312635429323,113,1.5
0.9,0.12218,1.45070776173879,117,1.5
0.8,0.12218,1.4424869108575,140,1.5
0.7,0.12218,1.42614947933308,140,1.5
0.6,0.12218,1.41000217497604,140,1.5
0.5,0.12218,1.3941463939165,140,1.5
0.4,0.12218,1.3782273836893,140,1.5
0.3,0.12218,1.36071822886892,140,1.5
0.2,0.12218,1.34170338176946,140,1.5
0.1,0.12218,1.32194031254838,140,1.5
0,0.12218,1.30235743362512,140,1.5
1,0.10392,1.45569110660326,120,1.5
0.9,0.10392,1.42639106288688,140,1.5
0.8,0.10392,1.40682613404124,140,1.5
0.7,0.10392,1.38688906552881,140,1.5
0.6,0.10392,1.36262515913188,140,1.5
0.5,0.10392,1.33909725151401,140,1.5
0.4,0.10392,1.31241438838554,140,1.5
0.3,0.10392,1.28369816338428,140,1.5
0.2,0.10392,1.25468188856081,140,1.5
0.1,0.10392,1.21713629834128,140,1.5
0,0.10392,1.17260496078952,140,1.5
1,0.08566,1.4077995830236,140,1.5
0.9,0.08566,1.37843848308235,140,1.5
0.8,0.08566,1.34848516367321,140,1.5
0.7,0.08566,1.31638941013463,140,1.5
0.6,0.08566,1.27881212221141,140,1.5
0.5,0.08566,1.23660332252667,140,1.5
0.4,0.08566,1.19032374005543,140,1.5
0.3,0.08566,1.13669259221069,140,1.5
0.2,0.08566,1.06288642663754,140,1.5
0.1,0.08566,0.973614268391857,140,1.5
0,0.08566,0.85579173227224,140,1.5
1,0.0674,1.34435190675751,140,1.5
0.9,0.0674,1.29972204354986,140,1.5
0.8,0.0674,1.24683240781141,140,1.5
0.7,0.0674,1.19001425371261,140,1.5
0.6,0.0674,1.12124151641014,140,1.5
0.5,0.0674,1.04014403374829,140,1.5
0.4,0.0674,0.941719227289448,140,1.5
0.3,0.0674,0.831234530095165,140,1.5
0.2,0.0674,0.705299376415232,140,1.5
0.1,0.0674,0.572862891543258,140,1.5
0,0.0674,0.439568944957328,140,1.5
