mu,sigma,tcr_mean,yrs,thresh
0.1,0.10392,1.26306979715046,142,1.3
0,0.10392,1.27038372674507,145,1.3
0.5,0.08566,1.30546587567631,145,1.3
0.4,0.08566,1.26868508546912,145,1.3
0.3,0.08566,1.25393079326948,147,1.3
0.2,0.08566,1.25132842111346,149,1.3
0.1,0.08566,1.25388025369836,154,1.3
0,0.08566,1.2540938909071,156,1.3
0.8,0.0674,1.36404966762848,156,1.3
0.7,0.0674,1.33677896994039,156,1.3
0.6,0.0674,1.30382980360382,156,1.3
0.5,0.0674,1.26349139340437,156,1.3
0.4,0.0674,1.25886906985148,159,1.3
0.3,0.0674,1.26079407003264,163,1.3
0.2,0.0674,1.25951256477766,167,1.3
0.1,0.0674,1.26288252880653,171,1.3
0,0.0674,1.25532125214373,175,1.3
