mu,sigma,tcr_mean,yrs,thresh
1,0.25,1.45606694369151,97,1.5
0.9,0.25,1.4525877897437,97,1.5
0.8,0.25,1.45509837163582,99,1.5
0.7,0.25,1.45674271783113,100,1.5
0.6,0.25,1.4504327158417,100,1.5
0.5,0.25,1.45938208233669,102,1.5
0.4,0.25,1.45002840598091,102,1.5
0.3,0.25,1.45393295054334,103,1.5
0.2,0.25,1.45664892510418,106,1.5
0.1,0.25,1.46316706486222,107,1.5
0,0.25,1.45609627354544,107,1.5
1,0.23174,1.45215811222404,97,1.5
0.9,0.23174,1.45481734414796,98,1.5
0.8,0.23174,1.45777440936895,100,1.5
0.7,0.23174,1.45440212714342,101,1.5
0.6,0.23174,1.45122138244573,101,1.5
0.5,0.23174,1.45289400173353,102,1.5
0.4,0.23174,1.45213795906003,103,1.5
0.3,0.23174,1.45019110821727,106,1.5
0.2,0.23174,1.45461295483332,107,1.5
0.1,0.23174,1.45097949562137,109,1.5
0,0.23174,1.45034842993436,110,1.5
1,0.21348,1.45309563908757,98,1.5
0.9,0.21348,1.45889541875603,100,1.5
0.8,0.21348,1.45126932580171,101,1.5
0.7,0.21348,1.45528370109418,102,1.5
0.6,0.21348,1.45282968493294,103,1.5
0.5,0.21348,1.45226427705234,106,1.5
0.4,0.21348,1.45497935265412,107,1.5
0.3,0.21348,1.45139506466823,109,1.5
0.2,0.21348,1.45222847085308,110,1.5
0.1,0.21348,1.45134945391339,112,1.5
0,0.21348,1.45700504546601,114,1.5
1,0.19522,1.45610540999414,100,1.5
0.9,0.19522,1.45291175016052,101,1.5
0.8,0.19522,1.45234968565212,102,1.5
0.7,0.19522,1.45077633774257,104,1.5
0.6,0.19522,1.45753747349629,107,1.5
0.5,0.19522,1.45239376881695,108,1.5
0.4,0.19522,1.45716358389311,112,1.5
0.3,0.19522,1.45043276229165,112,1.5
0.2,0.19522,1.45454179829962,114,1.5
0.1,0.19522,1.45175722945216,117,1.5
0,0.19522,1.4562003508389,118,1.5
1,0.17696,1.45209701295581,101,1.5
0.9,0.17696,1.45263967977958,102,1.5
0.8,0.17696,1.45008708325716,105,1.5
0.7,0.17696,1.45231179388375,107,1.5
0.6,0.17696,1.45267724247733,110,1.5
0.5,0.17696,1.45307570914384,113,1.5
0.4,0.17696,1.45437414300285,114,1.5
0.3,0.17696,1.45056664787523,117,1.5
0.2,0.17696,1.45228105153833,118,1.5
0.1,0.17696,1.45176932955911,120,1.5
0,0.17696,1.4380061561207,140,1.5
1,0.1587,1.45555205795118,103,1.5
0.9,0.1587,1.45438431483065,106,1.5
0.8,0.1587,1.45381563718176,110,1.5
0.7,0.1587,1.4569016769868,113,1.5
0.6,0.1587,1.45336302473811,115,1.5
0.5,0.1587,1.45037946362774,117,1.5
0.4,0.1587,1.45440776439344,120,1.5
0.3,0.1587,1.44017066987658,140,1.5
0.2,0.1587,1.43048207514142,140,1.5
0.1,0.1587,1.41891366502454,140,1.5
0,0.1587,1.41066406492234,140,1.5
1,0.14044,1.45662771306956,107,1.5
0.9,0.14044,1.45030638885749,111,1.5
0.8,0.14044,1.45407326648341,114,1.5
0.7,0.14044,1.45682154583806,118,1.5
0.6,0.14044,1.45113263841827,120,1.5
0.5,0.14044,1.43443531895853,140,1.5
0.4,0.14044,1.41894891885528,140,1.5
0.3,0.14044,1.40818068097805,140,1.5
0.2,0.14044,1.39531910379672,140,1.5
0.1,0.14044,1.38447033488023,140,1.5
0,0.14044,1.36517793484909,140,1.5
1,0.12218,1.45195877328375,112,1.5
0.9,0.12218,1.45052542603775,117,1.5
0.8,0.12218,1.4502236977253,120,1.5
0.7,0.12218,1.42990557551934,140,1.5
0.6,0.12218,1.41253903226941,140,1.5
0.5,0.12218,1.39709846408272,140,1.5
0.4,0.12218,1.38072841463887,140,1.5
0.3,0.12218,1.3619885925043,140,1.5
0.2,0.12218,1.34572750619649,140,1.5
0.1,0.12218,1.32451531752801,140,1.5
0,0.12218,1.30409807192872,140,1.5
1,0.10392,1.45215384179297,119,1.5
0.9,0.10392,1.43022449734096,140,1.5
0.8,0.10392,1.40865225931543,140,1.5
0.7,0.10392,1.38763051426298,140,1.5
0.6,0.10392,1.36569947668416,140,1.5
0.5,0.10392,1.34187988827713,140,1.5
0.4,0.10392,1.31452716449253,140,1.5
0.3,0.10392,1.28585001348174,140,1.5
0.2,0.10392,1.25257045379897,140,1.5
0.1,0.10392,1.21917196556366,140,1.5
0,0.10392,1.17986970772379,140,1.5
1,0.08566,1.41335771491875,140,1.5
0.9,0.08566,1.38091062229204,140,1.5
0.8,0.08566,1.35077895744332,140,1.5
0.7,0.08566,1.31647642543042,140,1.5
0.6,0.08566,1.28162636560923,140,1.5
0.5,0.08566,1.24053640876208,140,1.5
0.4,0.08566,1.19113035595629,140,1.5
0.3,0.08566,1.1364713284491,140,1.5
0.2,0.08566,1.06521801239499,140,1.5
0.1,0.08566,0.979796254783387,140,1.5
0,0.08566,0.860366332055796,140,1.5
1,0.0674,1.34758610284115,140,1.5
0.9,0.0674,1.30234471475017,140,1.5
0.8,0.0674,1.25060152083484,140,1.5
0.7,0.0674,1.19222046156111,140,1.5
0.6,0.0674,1.12578760142478,140,1.5
0.5,0.0674,1.04342260712836,140,1.5
0.4,0.0674,0.945313351245817,140,1.5
0.3,0.0674,0.833021716404476,140,1.5
0.2,0.0674,0.703743210465375,140,1.5
0.1,0.0674,0.571589136932124,140,1.5
0,0.0674,0.441053265417091,140,1.5
