mu,sigma,tcr_mean,yrs,yrs_j,thresh
1,0.25,1.2564937933159737,71,70,1.3
0.9,0.25,1.3289269071517946,74,70,1.3
0.8,0.25,1.269008795183995,74,70,1.3
0.7,0.25,1.2759765258884288,77,70,1.3
0.6,0.25,1.25529599011625,83,70,1.3
0.5,0.25,1.270634184805231,90,70,1.3
0.4,0.25,1.2542807713849669,95,70,1.3
0.3,0.25,1.2546574618397603,102,70,1.3
0.2,0.25,1.3017300723778418,104,70,1.3
0.1,0.25,1.2880679116287468,104,70,1.3
0,0.25,1.27570612593593,104,70,1.3
1,0.2315,1.2557340216425579,72,71,1.3
0.9,0.2315,1.2737393401218107,73,71,1.3
0.8,0.2315,1.2854705014303638,76,71,1.3
0.7,0.2315,1.2530172596348474,78,71,1.3
0.6,0.2315,1.2521313776655165,90,71,1.3
0.5,0.2315,1.273459278885592,101,71,1.3
0.4,0.2315,1.2516064941129885,101,71,1.3
0.3,0.2315,1.264247499935633,103,71,1.3
0.2,0.2315,1.2711128682960628,104,71,1.3
0.1,0.2315,1.2522370152993765,104,71,1.3
0,0.2315,1.2540112330894237,106,71,1.3
1,0.213,1.2953466834883856,73,72,1.3
0.9,0.213,1.265962739219301,75,72,1.3
0.8,0.213,1.2507104465121595,78,72,1.3
0.7,0.213,1.2625360902972596,90,72,1.3
0.6,0.213,1.2595039363952387,101,72,1.3
0.5,0.213,1.2549961167120818,103,72,1.3
0.4,0.213,1.263634887487979,104,72,1.3
0.3,0.213,1.2848590577957975,105,72,1.3
0.2,0.213,1.2502839375150814,105,72,1.3
0.1,0.213,1.2652830782209161,107,72,1.3
0,0.213,1.289539213726836,111,72,1.3
1,0.1945,1.275300026789758,74,73,1.3
0.9,0.1945,1.2529277366167755,77,73,1.3
0.8,0.1945,1.2545947027709015,83,73,1.3
0.7,0.1945,1.263073414760059,102,73,1.3
0.6,0.1945,1.3036688598481965,104,73,1.3
0.5,0.1945,1.2713348468095704,104,73,1.3
0.4,0.1945,1.2675353870084405,106,73,1.3
0.3,0.1945,1.2550683169629089,106,73,1.3
0.2,0.1945,1.2537156545632568,109,73,1.3
0.1,0.1945,1.2798736434314557,111,73,1.3
0,0.1945,1.2747958096350687,112,73,1.3
1,0.176,1.2532190412617399,76,75,1.3
0.9,0.176,1.2523638944586235,85,75,1.3
0.8,0.176,1.2513096936812609,101,75,1.3
0.7,0.176,1.2873549454766346,104,75,1.3
0.6,0.176,1.2585742989638127,104,75,1.3
0.5,0.176,1.2789654993520765,107,75,1.3
0.4,0.176,1.2557384631976227,110,75,1.3
0.3,0.176,1.25883388943166,110,75,1.3
0.2,0.176,1.2547599935026394,111,75,1.3
0.1,0.176,1.2571809588192853,113,75,1.3
0,0.176,1.2729013590057567,115,75,1.3
1,0.1575,1.2588605029327495,80,79,1.3
0.9,0.1575,1.260551930775314,95,79,1.3
0.8,0.1575,1.2701440703844213,104,79,1.3
0.7,0.1575,1.2557930643109791,106,79,1.3
0.6,0.1575,1.2502631859683302,108,79,1.3
0.5,0.1575,1.2627934421737692,110,79,1.3
0.4,0.1575,1.2542881723727526,112,79,1.3
