year,rcp,had,had_025,had_975,cw,cw_1sigma,giss,trf,volc,solar,anthro,ghg,co2ch4n2o,co2,fgassum,mhalosum,aerosols,other,soi,amo,had_full,cw_full,giss_full,volc_mean,soi_mean,amo_mean
1866,rcp26,0.0506666666666666,-0.168333333333333,0.258666666666667,-0.00933333333333336,0.067,,0.15596621,0.21907859,-0.0242375,0.18020371,0.264828,0.26472348,0.1895378,0,0.00010452,-0.049152494,-0.035471797,-0.25,0.214,0.0506666666666666,-0.00933333333333336,,0.21907859,-0.25,0.214
1867,rcp26,-0.0193333333333334,-0.233333333333333,0.188666666666667,-0.0623333333333334,0.067,,0.1505226,0.22901714,-0.024600625,0.17512323,0.26787348,0.26776222,0.19140242,0,0.0001112605,-0.050998163,-0.041752084,-0.0833333333333333,0.1525,-0.0193333333333334,-0.0623333333333334,,0.22901714,-0.0833333333333333,0.1525
1868,rcp26,0.0636666666666667,-0.146333333333333,0.263666666666667,0.0216666666666666,0.068,,0.17369163,0.23107339,-0.0025725,0.17626413,0.27138324,0.27126523,0.19373219,0,0.0001180075,-0.052157318,-0.042961786,-1.38333333333333,0.164583333333333,0.0636666666666667,0.0216666666666666,,0.23107339,-1.38333333333333,0.164583333333333
1869,rcp26,0.0396666666666666,-0.149333333333333,0.219666666666667,-0.00633333333333336,0.066,,0.21785672,0.22284839,0.03553375,0.18232298,0.27535688,0.27523214,0.19652669,0,0.000124748,-0.052479537,-0.040554374,0.625,0.1055,0.0396666666666666,-0.00633333333333336,,0.22284839,0.625,0.1055
1870,rcp26,0.0256666666666666,-0.145333333333333,0.191666666666667,-0.0423333333333333,0.059,,0.25113271,0.21873589,0.06412875,0.18700396,0.27938161,0.27925015,0.19931973,0,0.0001314625,-0.05286365,-0.039513993,-0.266666666666667,0.02825,0.0256666666666666,-0.0423333333333333,,0.21873589,-0.266666666666667,0.02825
1871,rcp26,-0.0333333333333334,-0.212333333333333,0.144666666666667,-0.0603333333333334,0.058,,0.24939782,0.2194213,0.06727,0.18212782,0.2837839,0.28364571,0.2025763,0,0.00013819,-0.056344098,-0.045311981,-0.283333333333333,0.041,-0.0333333333333334,-0.0603333333333334,,0.2194213,-0.283333333333333,0.041
1872,rcp26,0.0746666666666666,-0.0953333333333334,0.239666666666667,-0.0163333333333334,0.059,,0.21568884,0.2070838,0.051760625,0.16392822,0.28859483,0.28844988,0.20629582,0,0.00014495,-0.062365425,-0.062301188,3.11666666666667,0.10325,0.0746666666666666,-0.0163333333333334,,0.2070838,3.11666666666667,0.10325
1873,rcp26,-0.00233333333333335,-0.166333333333333,0.157666666666667,0.00166666666666665,0.059,,0.17641352,0.19337547,0.0265125,0.14990102,0.2939516,0.29379989,0.21047702,0,0.00015171,-0.066540858,-0.077509722,0.216666666666667,0.0574166666666667,-0.00233333333333335,0.00166666666666665,,0.19337547,0.216666666666667,0.0574166666666667
1874,rcp26,-0.0663333333333334,-0.230333333333333,0.0926666666666666,-0.0853333333333334,0.058,,0.15247698,0.20125776,-2.1874985e-05,0.15249886,0.30023225,0.30007378,0.21558294,0,0.00015847,-0.06634168,-0.081391713,1.01666666666667,-0.01175,-0.0663333333333334,-0.0853333333333334,,0.20125776,1.01666666666667,-0.01175
1875,rcp26,-0.0933333333333334,-0.256333333333333,0.0636666666666667,-0.0763333333333334,0.058,,0.13840011,0.19406089,-0.020846875,0.15924699,0.30702371,0.30685848,0.22114773,0,0.00016523,-0.065586964,-0.082189756,0.258333333333333,0.0440833333333333,-0.0933333333333334,-0.0763333333333334,,0.19406089,0.258333333333333,0.0440833333333333
