year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1856,0.235,0.169,0.24,0.159,0.212,0.234,0.247,0.224,0.291,0.141,0.152,0.246
1857,0.231,-0.042,-0.058,0.025,-0.015,0.117,0.149,0.015,0.036,-0.117,-0.151,-0.266
1858,-0.204,-0.297,-0.054,0.228,0.106,-0.023,-0.144,-0.054,0.087,0.165,0.292,0.139
1859,-0.116,-0.104,0.076,0.166,0.103,-0.085,-0.164,0.079,0.096,0.144,0.076,0.098
1860,0.131,-0.096,0.077,-0.053,0.185,0.319,0.245,0.055,0.011,0.126,0.008,0.157
1861,0.016,-0.094,0.009,0.263,0.21,0.307,0.429,0.318,0.275,0.229,0.231,0.131
1862,-0.012,-0.148,-0.058,-0.111,-0.167,-0.029,-0.279,-0.253,-0.242,-0.251,-0.337,-0.343
1863,-0.132,-0.029,0.042,0.064,0.038,-0.028,-0.279,-0.286,-0.143,-0.22,-0.164,-0.102
1864,-0.191,-0.341,-0.167,-0.021,0.087,0.129,0.275,0.361,0.209,0.14,0.201,0.202
1865,0.202,0.262,0.175,0.071,0.04,0.21,0.132,0.052,0.295,0.262,0.226,0.226
1866,0.059,0.186,0.221,0.14,0.183,0.359,0.289,0.267,0.156,0.149,0.275,0.284
1867,0.319,0.292,0.394,0.304,0.165,0.096,0.116,0.078,0.01,-0.02,0.121,-0.045
1868,0.07,0.139,0.21,0.269,0.195,0.334,0.414,0.211,0.155,-0.105,-0.048,0.131
1869,-0.105,0.1,0.085,0.253,0.29,0.223,0.289,0.143,0.102,0.002,-0.037,-0.079
1870,-0.151,0.017,-0.035,-0.161,-0.022,-0.004,-0.032,0.107,0.158,0.165,0.181,0.116
1871,-0.129,-0.111,0.137,0.187,0.15,0.139,0.179,0.065,-0.081,-0.14,0.003,0.093
1872,-0.063,-0.047,-0.078,-0.067,0.183,0.224,0.291,0.391,0.423,0.054,-0.027,-0.045
1873,0.06,0.011,0.048,0.051,-0.043,-0.033,0.091,0.051,0.152,0.088,0.067,0.146
1874,0.057,-0.107,-0.113,-0.084,0.021,0.169,0.106,-0.007,0.187,-0.034,-0.052,-0.284
1875,-0.16,0.073,0.042,0.024,0.17,0.176,0.009,0.097,0.145,0.077,-0.053,-0.071
1876,-0.199,-0.07,-0.085,-0.064,-0.066,0.001,0.121,0.181,0.154,-0.048,-0.075,-0.011
1877,0.013,0.164,0.248,0.153,0.262,0.331,0.307,0.371,0.27,0.24,0.309,0.327
1878,0.249,0.342,0.352,0.651,0.532,0.635,0.428,0.595,0.556,0.327,0.38,0.478
1879,0.331,0.386,0.027,0.045,0.253,0.184,0.092,0.023,-0.015,0.069,0.076,0.126
1880,0.084,0.012,0.097,-0.03,-0.132,-0.004,0.125,0.11,0.262,0.238,0.155,-0.077
1881,0.177,0.131,0.198,0.229,0.122,0.128,0.016,0.053,-0.015,-0.061,-0.297,-0.087
1882,-0.123,-0.09,-0.024,-0.12,-0.122,0.008,0.069,0.078,0.051,-0.006,0.023,0.026
1883,-0.038,-0.155,-0.143,0.037,0.044,-0.02,-0.034,0.028,-0.081,-0.103,0.004,0.145
1884,0.043,-0.131,-0.098,-0.051,-0.036,0.148,-0.018,0.004,-0.139,-0.132,-0.328,-0.101
1885,-0.053,0.059,-0.02,-0.236,-0.151,-0.117,-0.01,0.129,0.05,0.048,0.027,0.049
1886,0.147,0.143,0.199,0.223,0.25,0.219,0.262,0.08,0.018,-0.002,0.003,-0.003
1887,-0.082,-0.07,-0.006,-0.048,0.062,0.237,0.356,0.223,0.175,0.259,0.204,0.205
