mu,sigma,tcr_mean,yr_converge,yr_start,thresh,run
1,0.25,1.27262936111865,1943,1943,1.3,evid
0.9,0.25,1.26780679983947,1946,1943,1.3,evid
0.8,0.25,1.25146446014127,1947,1943,1.3,evid
0.7,0.25,1.25212731916043,1954,1943,1.3,evid
0.6,0.25,1.26424326061964,1961,1943,1.3,evid
0.5,0.25,1.28900865280805,1963,1943,1.3,evid
0.4,0.25,1.26580742984327,1965,1943,1.3,evid
0.3,0.25,1.25211945975657,1967,1943,1.3,evid
0.2,0.25,1.2615079316588,1969,1943,1.3,evid
0.1,0.25,1.25564558846445,1971,1943,1.3,evid
0,0.25,1.2859933929719,1973,1943,1.3,evid
1,0.232,1.27335379514607,1944,1944,1.3,evid
0.9,0.232,1.27768289422271,1947,1944,1.3,evid
0.8,0.232,1.25831910853038,1953,1944,1.3,evid
0.7,0.232,1.27055107388914,1961,1944,1.3,evid
0.6,0.232,1.27392949096554,1963,1944,1.3,evid
0.5,0.232,1.2597785138048,1966,1944,1.3,evid
0.4,0.232,1.25703715727744,1968,1944,1.3,evid
0.3,0.232,1.26115434768517,1970,1944,1.3,evid
0.2,0.232,1.25416082189889,1972,1944,1.3,evid
0.1,0.232,1.25002590477587,1974,1944,1.3,evid
0,0.232,1.27567258058213,1977,1944,1.3,evid
1,0.213,1.25445540436973,1945,1945,1.3,evid
0.9,0.213,1.25701955826182,1950,1945,1.3,evid
0.8,0.213,1.25278893957942,1959,1945,1.3,evid
0.7,0.213,1.27321391792653,1963,1945,1.3,evid
0.6,0.213,1.28148935360121,1967,1945,1.3,evid
0.5,0.213,1.26886593504251,1969,1945,1.3,evid
0.4,0.213,1.28377442540499,1972,1945,1.3,evid
0.3,0.213,1.26082817991768,1973,1945,1.3,evid
0.2,0.213,1.27576192007863,1977,1945,1.3,evid
0.1,0.213,1.28558966087382,1981,1945,1.3,evid
0,0.213,1.30053500251724,1983,1945,1.3,evid
1,0.194,1.27006880063718,1947,1947,1.3,evid
0.9,0.194,1.26567241449529,1959,1947,1.3,evid
0.8,0.194,1.27713776739313,1963,1947,1.3,evid
0.7,0.194,1.26945232272615,1967,1947,1.3,evid
0.6,0.194,1.2512738208265,1969,1947,1.3,evid
0.5,0.194,1.28439356505008,1973,1947,1.3,evid
