param,mean,q025,q975,prior
alpha,-5.8292749175e-06,-0.01561849,0.0158008125,ni
beta,0.42596191075,0.39540805,0.45760235,ni
gamma,0.04704471271875,-0.00112155925,0.09436967,ni
delta,-0.0234300191925,-0.03483708,-0.01225282,ni
eta,0.4716322015,0.3920462,0.551212275,ni
phi,0.318128978525,0.17998625,0.4461576,ni
tcr,1.58088532909609,1.3960353465696,1.78339237654406,ni
alpha,-3.72463706025e-05,-0.0161885325,0.01576713,lukemod
beta,0.417489493,0.38651975,0.44716005,lukemod
gamma,0.0474604468435,-0.00137060675,0.0972231025,lukemod
delta,-0.023860633495,-0.03537369,-0.0124934475,lukemod
eta,0.46943846675,0.3889578,0.5510784,lukemod
phi,0.31953054085,0.18077855,0.44637805,lukemod
tcr,1.54936082106007,1.36965628870638,1.73685271183542,lukemod
alpha,7.9412040015e-05,-0.017890445,0.0178131575,lukestrong
beta,0.3452877445,0.317374425,0.37186955,lukestrong
gamma,0.045209460244875,-0.011854395,0.101427275,lukestrong
delta,-0.0256200686825,-0.0379202775,-0.01368411,lukestrong
eta,0.459117785,0.36932185,0.550289525,lukestrong
phi,0.380175799,0.247565075,0.50276915,lukestrong
tcr,1.28144473614628,1.12915836212413,1.44715477760254,lukestrong
alpha,-5.2453291968e-05,-0.0159254875,0.0153573325,denmod
beta,0.40267729125,0.3708196,0.433838,denmod
gamma,0.0472903518296,-0.00217668324999999,0.097151645,denmod
delta,-0.0245306246025,-0.03623994,-0.0129506825,denmod
eta,0.466298029,0.3852214,0.5489226,denmod
phi,0.323238890975,0.18888665,0.45071985,denmod
tcr,1.49447693049169,1.30999718242745,1.68498205739502,denmod
alpha,9.05250078e-05,-0.0378725275,0.037400815,denstrong
beta,0.075904006575,0.04058037,0.113457125,denstrong
gamma,0.032993696564775,-0.076201935,0.144259,denstrong
delta,-0.02441614116225,-0.04370846,-0.005445585,denstrong
eta,0.44653194875,0.2877866,0.60149035,denstrong
phi,0.6468456715,0.54720565,0.7311909,denstrong
tcr,0.281762679682054,0.147137460637403,0.425628278086844,denstrong
