param,mean,q025,q975,prior,run
alpha,4.90996408425e-05,-0.01545976,0.0154532125,ni,main
beta,0.425907339,0.39538585,0.4554707,ni,main
gamma,0.047890580592625,-0.00175560925,0.09848936,ni,main
delta,-0.02359700602,-0.0350051175,-0.012313395,ni,main
eta,0.46999877025,0.392575325,0.54764125,ni,main
phi,0.31995944725,0.181317725,0.4437032,ni,main
tcr,1.5806744219519,1.38855292620672,1.77163591300175,ni,main
alpha,6.535195185e-05,-0.01605204,0.0157659775,lukemod,main
beta,0.417119298,0.3865337,0.4475005,lukemod,main
gamma,0.0476885743206,-0.000409811124999998,0.0966861375,lukemod,main
delta,-0.023793958905,-0.0351661825,-0.01264684,lukemod,main
eta,0.4680183575,0.38557385,0.546933975,lukemod,main
phi,0.32128464485,0.18664995,0.446461625,lukemod,main
tcr,1.54805758103935,1.36061520849875,1.74269442486631,lukemod,main
alpha,0.0002602321703275,-0.017386625,0.0175379825,lukestrong,main
beta,0.3453692195,0.31716755,0.372621125,lukestrong,main
gamma,0.0459183159679775,-0.01332204,0.102043225,lukestrong,main
delta,-0.025499658911,-0.03761599,-0.0136327175,lukestrong,main
eta,0.46001809975,0.3669866,0.55238165,lukestrong,main
phi,0.378246319325,0.24480125,0.502573275,lukestrong,main
tcr,1.28176920231852,1.12536109778986,1.44427936401018,lukestrong,main
alpha,6.247667345e-05,-0.016296665,0.016586825,denmod,main
beta,0.402484981,0.371291075,0.432552575,denmod,main
gamma,0.046598294148475,-0.005755992,0.09736115,denmod,main
delta,-0.02424496029,-0.035886505,-0.0127777275,denmod,main
eta,0.4680031505,0.38614525,0.549356825,denmod,main
phi,0.326231357375,0.1938348,0.454449225,denmod,main
tcr,1.49380552056355,1.30581802519631,1.68070182492198,denmod,main
alpha,-0.000448300862405,-0.036867525,0.036121475,denstrong,main
beta,0.076092419063,0.0396839825,0.11221205,denstrong,main
gamma,0.0338999738699775,-0.080233095,0.148282025,denstrong,main
delta,-0.024773625722475,-0.043822905,-0.00588353625,denstrong,main
eta,0.448474226,0.288765125,0.61361205,denstrong,main
phi,0.64765292675,0.548879225,0.733079975,denstrong,main
tcr,0.28237177281225,0.146789442133018,0.421626747483745,denstrong,main
