param,mean,q025,q975,prior,series,run
alpha,-0.00017300541662125,-0.0166487875,0.0160030025,ni,cw,alt-gmst
beta,0.44421750175,0.4106989,0.478131025,ni,cw,alt-gmst
gamma,0.0808879394,0.029517695,0.1323732,ni,cw,alt-gmst
delta,-0.02547585385,-0.03691738,-0.0142120725,ni,cw,alt-gmst
eta,0.43662785,0.351971175,0.5216491,ni,cw,alt-gmst
phi,0.35247470975,0.208553675,0.478372475,ni,cw,alt-gmst
tcr,1.64878237073884,1.44502673167131,1.86178459813565,ni,cw,alt-gmst
alpha,0.000332081073996,-0.017066765,0.0177619675,ni,giss,alt-gmst
beta,0.47178951425,0.436655725,0.506664775,ni,giss,alt-gmst
gamma,0.02970192838738,-0.023001995,0.0819395,ni,giss,alt-gmst
delta,-0.02872694134,-0.041281995,-0.0159273025,ni,giss,alt-gmst
eta,0.383151781,0.292079425,0.478118975,ni,giss,alt-gmst
phi,0.337150249175,0.19584365,0.467667475,ni,giss,alt-gmst
tcr,1.75097254938861,1.5379854855365,1.9690235967419,ni,giss,alt-gmst
alpha,0.000121426449425,-0.0163028825,0.01681865,lukemod,cw,alt-gmst
beta,0.433697852,0.4019339,0.464449125,lukemod,cw,alt-gmst
gamma,0.0806970624465,0.0278896025,0.13356445,lukemod,cw,alt-gmst
delta,-0.02567450752,-0.037188535,-0.01423284,lukemod,cw,alt-gmst
eta,0.43349195825,0.347140375,0.521240075,lukemod,cw,alt-gmst
phi,0.351601453875,0.221330675,0.472841025,lukemod,cw,alt-gmst
tcr,1.60964634693159,1.4203137969164,1.81076701760076,lukemod,cw,alt-gmst
alpha,0.0005866379363925,-0.0177496875,0.0189798,lukemod,giss,alt-gmst
beta,0.458387461,0.422368725,0.492836125,lukemod,giss,alt-gmst
gamma,0.0304606496868775,-0.020519445,0.08485981,lukemod,giss,alt-gmst
delta,-0.029334729635,-0.0422062225,-0.01707996,lukemod,giss,alt-gmst
eta,0.383992762,0.294128475,0.472465025,lukemod,giss,alt-gmst
phi,0.3382992046,0.19599755,0.465208375,lukemod,giss,alt-gmst
tcr,1.70130985197397,1.4901311503855,1.91526707859092,lukemod,giss,alt-gmst
alpha,-6.41862375175e-05,-0.0191575325,0.0185410625,lukestrong,cw,alt-gmst
beta,0.34773353525,0.317277475,0.3763431,lukestrong,cw,alt-gmst
gamma,0.078509485468,0.0176216825,0.138468925,lukestrong,cw,alt-gmst
delta,-0.0277319802625,-0.0410337625,-0.0146707525,lukestrong,cw,alt-gmst
eta,0.4246619205,0.33070075,0.5190856,lukestrong,cw,alt-gmst
phi,0.42000270675,0.282507,0.54047045,lukestrong,cw,alt-gmst
tcr,1.29054367775639,1.1301106355027,1.4534949781352,lukestrong,cw,alt-gmst
alpha,0.0004482779047545,-0.022879595,0.023660415,lukestrong,giss,alt-gmst
beta,0.3443758115,0.311348125,0.376716675,lukestrong,giss,alt-gmst
gamma,0.035132252709025,-0.0326376725,0.104151125,lukestrong,giss,alt-gmst
delta,-0.031451955605,-0.0464783925,-0.0165878625,lukestrong,giss,alt-gmst
eta,0.39374131625,0.2857867,0.501236075,lukestrong,giss,alt-gmst
phi,0.44292887175,0.308627925,0.5673231,lukestrong,giss,alt-gmst
tcr,1.27813298156363,1.10650686171581,1.4561959640384,lukestrong,giss,alt-gmst
alpha,-1.08775801125e-05,-0.01666859,0.0168529025,denmod,cw,alt-gmst
beta,0.41705615925,0.3835008,0.44915215,denmod,cw,alt-gmst
gamma,0.0805644356,0.0277058925,0.1328945,denmod,cw,alt-gmst
delta,-0.0263530930025,-0.038053055,-0.0144388575,denmod,cw,alt-gmst
eta,0.43087053175,0.344123975,0.514229675,denmod,cw,alt-gmst
phi,0.35485415,0.2144916,0.4802415,denmod,cw,alt-gmst
tcr,1.5478847521813,1.35346866994079,1.74823788147617,denmod,cw,alt-gmst
alpha,0.00060547287870475,-0.0179501275,0.019052245,denmod,giss,alt-gmst
beta,0.43871421575,0.4013569,0.474054075,denmod,giss,alt-gmst
gamma,0.030589012124825,-0.02145233,0.083945615,denmod,giss,alt-gmst
delta,-0.03005602889,-0.043465255,-0.0173168525,denmod,giss,alt-gmst
eta,0.38479096025,0.294009225,0.477889075,denmod,giss,alt-gmst
phi,0.345676540175,0.20835685,0.4751371,denmod,giss,alt-gmst
tcr,1.62821794349628,1.42289233117932,1.84290086493398,denmod,giss,alt-gmst
alpha,7.8673983377e-05,-0.0394333,0.0397873375000001,denstrong,cw,alt-gmst
beta,0.0729374691675,0.03794719,0.109156275,denstrong,cw,alt-gmst
gamma,0.0636974608700825,-0.0498183375,0.177495325,denstrong,cw,alt-gmst
delta,-0.028500561567925,-0.0474941875,-0.01001784,denstrong,cw,alt-gmst
eta,0.42030109895,0.251244,0.59076495,denstrong,cw,alt-gmst
phi,0.6634835895,0.5637175,0.742524525,denstrong,cw,alt-gmst
tcr,0.270773523637721,0.13855137802655,0.41108211179708,denstrong,cw,alt-gmst
alpha,0.00051932769995775,-0.0426553725,0.0442338,denstrong,giss,alt-gmst
beta,0.06056121172675,0.0256888525,0.0963490925,denstrong,giss,alt-gmst
gamma,0.042816186742325,-0.084146055,0.171825325,denstrong,giss,alt-gmst
delta,-0.0335134082135,-0.056030555,-0.0102378175,denstrong,giss,alt-gmst
eta,0.425647315625,0.233415175,0.613723575,denstrong,giss,alt-gmst
phi,0.6689806995,0.5673456,0.755062025,denstrong,giss,alt-gmst
tcr,0.224829084440223,0.0951300413626422,0.361464625682865,denstrong,giss,alt-gmst
