param,mean,q025,q975,prior,series,run
alpha,0.000131336121335,-0.0163916425,0.01646571,ni,anthro,anthro
beta,0.425546963,0.380938525,0.469271525,ni,anthro,anthro
gamma,0.0474687689261,-0.000980480775,0.0963772075,ni,anthro,anthro
delta,-0.0234498003825,-0.0347347175,-0.0120805875,ni,anthro,anthro
eta,0.4707383355,0.389516925,0.550029425,ni,anthro,anthro
phi,0.3257729201,0.190480375,0.450383375,ni,anthro,anthro
tcr,1.5793818333137,1.35995267788734,1.80490626503415,ni,anthro,anthro
alpha,0.0001688782813375,-0.0154351875,0.0156513575,ni,co2,anthro
beta,0.45190024925,0.3685997,0.539108425,ni,co2,anthro
gamma,0.049511147250175,-4.43502374999983e-05,0.1004628,ni,co2,anthro
delta,-0.0233341984175,-0.0350190525,-0.0122618,ni,co2,anthro
eta,0.475981845,0.389279425,0.5598826,ni,co2,anthro
phi,0.3226354993,0.189981425,0.442957675,ni,co2,anthro
tcr,1.67715802810859,1.33619994933121,2.03449871340117,ni,co2,anthro
alpha,-1.809805961e-05,-0.016110745,0.0157414675,lukemod,anthro,anthro
beta,0.40889094,0.367587825,0.450325425,lukemod,anthro,anthro
gamma,0.04626277618438,-0.003842053,0.0961325425,lukemod,anthro,anthro
delta,-0.024107404665,-0.0357357075,-0.0125276025,lukemod,anthro,anthro
eta,0.4695253415,0.38866015,0.5519117,lukemod,anthro,anthro
phi,0.322835777925,0.1863904,0.447208275,lukemod,anthro,anthro
tcr,1.51743548534969,1.31639121590834,1.73290396504928,lukemod,anthro,anthro
alpha,3.5204656535e-05,-0.016645405,0.0159045375,lukemod,co2,anthro
beta,0.3981686835,0.324810625,0.4717647,lukemod,co2,anthro
gamma,0.04614905325805,-0.00437658375,0.0960754625,lukemod,co2,anthro
delta,-0.023787315059,-0.0352882,-0.0128209725,lukemod,co2,anthro
eta,0.46508850325,0.38439275,0.54531265,lukemod,co2,anthro
phi,0.324895171025,0.189953175,0.450539225,lukemod,co2,anthro
tcr,1.47763062429516,1.17936895248767,1.79373420741819,lukemod,co2,anthro
alpha,0.00010341848214525,-0.017787815,0.017785815,lukestrong,anthro,anthro
beta,0.32138863325,0.289709125,0.351875575,lukestrong,anthro,anthro
gamma,0.03798289636475,-0.018231105,0.0928305675,lukestrong,anthro,anthro
delta,-0.02592625742,-0.0383979175,-0.0136001925,lukestrong,anthro,anthro
eta,0.461478464,0.37318195,0.549801,lukestrong,anthro,anthro
phi,0.369987783225,0.234402175,0.49085965,lukestrong,anthro,anthro
tcr,1.19280265785341,1.03043370113689,1.35454187104866,lukestrong,anthro,anthro
alpha,-3.1407740075e-05,-0.0172694125,0.0165404075,lukestrong,co2,anthro
beta,0.29307964075,0.2615351,0.3254972,lukestrong,co2,anthro
gamma,0.0394440748561475,-0.0131146875,0.092416765,lukestrong,co2,anthro
delta,-0.024337608465,-0.036137705,-0.0126766175,lukestrong,co2,anthro
eta,0.446527753,0.362575075,0.53274815,lukestrong,co2,anthro
phi,0.35294815725,0.217920675,0.4722295,lukestrong,co2,anthro
tcr,1.08769016017201,0.935489338949347,1.25061370800914,lukestrong,co2,anthro
alpha,0.0001980212810875,-0.01597389,0.01656768,denmod,anthro,anthro
beta,0.3805905745,0.33674945,0.42471035,denmod,anthro,anthro
gamma,0.043950330905075,-0.00890934575,0.0947294075,denmod,anthro,anthro
delta,-0.024784753165,-0.0365221325,-0.01314341,denmod,anthro,anthro
eta,0.46608313575,0.38338425,0.551002725,denmod,anthro,anthro
phi,0.33045238355,0.192773425,0.455217175,denmod,anthro,anthro
tcr,1.41246411445109,1.20620418314957,1.62836795586126,denmod,anthro,anthro
alpha,0.00018997561683,-0.016640315,0.0161398875,denmod,co2,anthro
beta,0.313357786,0.229301275,0.388865925,denmod,co2,anthro
gamma,0.0409894400903,-0.01074884,0.0935743875,denmod,co2,anthro
delta,-0.024255195061,-0.036508885,-0.0128241325,denmod,co2,anthro
eta,0.44898322675,0.361517375,0.5350482,denmod,co2,anthro
phi,0.347273525975,0.20663245,0.4747582,denmod,co2,anthro
tcr,1.16309980758511,0.834912721472485,1.47540882284111,denmod,co2,anthro
alpha,0.000986529419043425,-0.030840255,0.0314996975,denstrong,anthro,anthro
beta,0.06211582799925,0.025183175,0.09776333,denstrong,anthro,anthro
gamma,0.0114945529787725,-0.08068043,0.098429385,denstrong,anthro,anthro
delta,-0.0256349702605,-0.0425716,-0.0093412095,denstrong,anthro,anthro
eta,0.452889396,0.318094175,0.589758575,denstrong,anthro,anthro
phi,0.5844753275,0.47409625,0.6799521,denstrong,anthro,anthro
tcr,0.230688557802294,0.0933460403285525,0.368454798103445,denstrong,anthro,anthro
alpha,5.266776525e-05,-0.0225831025,0.0230783225,denstrong,co2,anthro
beta,0.03550036550575,0.00134671525,0.070203265,denstrong,co2,anthro
gamma,0.0206915409548,-0.0499600725,0.08942776,denstrong,co2,anthro
delta,-0.02375336316475,-0.037782865,-0.009641128,denstrong,co2,anthro
eta,0.4065938955,0.298816175,0.514055375,denstrong,co2,anthro
phi,0.47460312725,0.3537432,0.57967395,denstrong,co2,anthro
tcr,0.131723104559542,0.00480340803546295,0.261087907333852,denstrong,co2,anthro
