param,mean,q025,q975,prior,run
alpha,7.59151431500001e-06,-0.0155933125,0.015502195,ni,me-gmst
beta,0.425822689,0.3939735,0.45917125,ni,me-gmst
gamma,0.047967665614175,-0.00184011525,0.0964485575,ni,me-gmst
delta,-0.0236059945675,-0.0348926075,-0.0122579875,ni,me-gmst
eta,0.468755248,0.388525375,0.549833325,ni,me-gmst
phi,0.324721146875,0.184230275,0.4498967,ni,me-gmst
tcr,1.58038154715112,1.38830529684613,1.78154110158581,ni,me-gmst
alpha,-0.0001301305311525,-0.0162848125,0.016009255,lukemod,me-gmst
beta,0.41690365325,0.385997125,0.44797305,lukemod,me-gmst
gamma,0.0483584904175,-0.001284122,0.096952735,lukemod,me-gmst
delta,-0.0240364045975,-0.0356329075,-0.0126443425,lukemod,me-gmst
eta,0.46808701025,0.386904175,0.548366875,lukemod,me-gmst
phi,0.324810315775,0.19347765,0.45713315,lukemod,me-gmst
tcr,1.54732271013665,1.35704875958069,1.7369786530174,lukemod,me-gmst
alpha,0.0003888440345225,-0.017883375,0.018714555,lukestrong,me-gmst
beta,0.34447633625,0.315924325,0.370816875,lukestrong,me-gmst
gamma,0.0469083459492875,-0.0114792425,0.1006773,lukestrong,me-gmst
delta,-0.02579700074,-0.03759263,-0.0137266375,lukestrong,me-gmst
eta,0.460776597,0.37040285,0.5512413,lukestrong,me-gmst
phi,0.38262401525,0.25355025,0.503850975,lukestrong,me-gmst
tcr,1.27848172899478,1.12342331846782,1.4395571812415,lukestrong,me-gmst
alpha,-1.8124926675e-05,-0.01586067,0.0163863,denmod,me-gmst
beta,0.401896369,0.3691518,0.4339036,denmod,me-gmst
gamma,0.04799410260475,-0.00124722125,0.098606665,denmod,me-gmst
delta,-0.0246247927425,-0.0360818675,-0.01321708,denmod,me-gmst
eta,0.4663002585,0.38387845,0.546508225,denmod,me-gmst
phi,0.327265578925,0.19344565,0.45452145,denmod,me-gmst
tcr,1.49156783145974,1.3084836395422,1.68967622898366,denmod,me-gmst
alpha,0.000528066187615,-0.036597335,0.038275035,denstrong,me-gmst
beta,0.07584232425,0.03992118,0.111594675,denstrong,me-gmst
gamma,0.033066664069825,-0.07695122,0.1419053,denstrong,me-gmst
delta,-0.02447316055715,-0.04408401,-0.00477517825,denstrong,me-gmst
eta,0.44912802525,0.289565325,0.611982075,denstrong,me-gmst
phi,0.6468851885,0.552573825,0.729855075,denstrong,me-gmst
tcr,0.281504396888645,0.147864036290701,0.419697368348769,denstrong,me-gmst
